project,time_stamp,name,owner_type,commodity,stock_type,quantity,production_quantity,consumption_quantity
1,1,Department II,INDUSTRY,Means of Production,Production,0,2000,0
1,1,Capitalists,CLASS,Consumption,Consumption,0,0,1500
1,1,Capitalists,CLASS,Money,Money,1500,0,0
1,1,Department II,INDUSTRY,Labour Power,Production,0,1000,0
1,1,Department I,INDUSTRY,Means of Production,Sales,6000,0,0
1,1,Department I,INDUSTRY,Money,Money,6000,0,0
1,1,Department II,INDUSTRY,Money,Money,3000,0,0
1,1,Department I,INDUSTRY,Labour Power,Production,0,2000,0
1,1,Department I,INDUSTRY,Means of Production,Production,0,4000,0
1,1,Department II,INDUSTRY,Consumption,Sales,3000,0,0
1,1,Workers,CLASS,Consumption,Consumption,0,0,3000
1,1,Workers,CLASS,Money,Money,1500,0,0
1,1,Workers,CLASS,Labour Power,Sales,3000,0,0
1,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
2,1,Capitalists,CLASS,Consumption,Consumption,0,0,1500
2,1,Capitalists,CLASS,Money,Money,1500,0,0
2,1,DI,INDUSTRY,Labour Power,Production,0,2000,0
2,1,DII,INDUSTRY,Labour Power,Production,0,1000,0
2,1,DI,INDUSTRY,Means of Production,Sales,6000,0,0
2,1,DI,INDUSTRY,Means of Production,Production,0,4000,0
2,1,DII,INDUSTRY,Money,Money,3000,0,0
2,1,DI,INDUSTRY,Money,Money,6000,0,0
2,1,DII,INDUSTRY,Means of Production,Production,0,2000,0
2,1,DII,INDUSTRY,Consumption,Sales,3000,0,0
2,1,Workers,CLASS,Consumption,Consumption,0,0,3000
2,1,Workers,CLASS,Money,Money,1500,0,0
2,1,Workers,CLASS,Labour Power,Sales,3000,0,0
2,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
4,1,Capitalists,CLASS,Luxuries,Consumption,0,0,1500
4,1,Capitalists,CLASS,Money,Money,3000,0,0
4,1,Capitalists,CLASS,Necessities,Consumption,0,0,0
4,1,Department IIa,INDUSTRY,Labour Power,Production,0,800,0
4,1,Department IIb,INDUSTRY,Luxuries,Sales,3000,0,0
4,1,Department IIb,INDUSTRY,Means of Production,Production,0,400,0
4,1,Department IIa,INDUSTRY,Means of Production,Production,0,1600,0
4,1,Department I,INDUSTRY,Means of Production,Sales,6000,0,0
4,1,Department I,INDUSTRY,Labour Power,Production,0,2000,0
4,1,Department I,INDUSTRY,Means of Production,Production,0,4000,0
4,1,Department I,INDUSTRY,Money,Money,6000,0,0
4,1,Department IIa,INDUSTRY,Money,Money,3000,0,0
4,1,Department IIa,INDUSTRY,Necessities,Sales,3000,0,0
